appointment_id,student_age,age_group,gender,region,student_level,program_area,appointment_type,booking_lead_days,previous_advising_visits,missed_appointments_last_year,credits_completed,current_gpa,email_reminder_sent,appointment_mode,advisor_rating_previous,appointment_completed
UA0257,22,18-25,Female,East,Second Year,Health,Course Planning,53,12,0,44,3.73,No,Online,3,1
UA0258,44,36-50,Male,West,First Year,Arts,Career,17,6,1,12,2.59,Yes,Online,4,0
UA0259,43,36-50,Female,East,Third Year,Health,Course Planning,11,10,0,99,1.97,No,Phone,2,1
UA0260,22,18-25,Male,South,First Year,Arts,Graduation Check,20,8,0,95,1.51,Yes,Phone,5,1
UA0261,34,26-35,Female,South,First Year,Business,Academic Risk,38,3,0,7,2.11,Yes,Phone,1,1
UA0262,29,26-35,Female,East,Fourth Year,Arts,Career,24,0,0,86,,Yes,In Person,1,0
UA0263,35,26-35,Male,North,Graduate,Business,Course Planning,43,1,0,27,2.67,Yes,Online,3,0
UA0264,43,36-50,Male,West,Second Year,Health,Career,24,12,4,104,1.82,Yes,Online,4,0
UA0265,24,18-25,Female,West,First Year,Health,Course Planning,12,2,0,75,3.05,Yes,In Person,3,1
UA0266,30,26-35,Female,South,Graduate,Engineering,Graduation Check,19,7,0,27,1.8,No,Online,3,0
UA0267,39,36-50,Female,North,First Year,Engineering,Course Planning,31,8,1,28,3.78,No,Online,2,1
UA0268,22,18-25,Male,South,First Year,Business,Course Planning,17,5,0,8,3.88,Yes,Online,4,1
UA0269,45,36-50,Female,West,First Year,Science,Graduation Check,33,10,4,70,3.92,No,Phone,1,0
UA0270,38,36-50,Male,East,Fourth Year,Science,Graduation Check,37,6,0,36,1.6,No,Online,3,1
UA0271,42,36-50,Male,North,First Year,Arts,Academic Risk,5,9,2,5,1.91,No,In Person,2,0
UA0272,39,36-50,Male,South,Graduate,Health,Career,13,5,0,83,4.0,Yes,In Person,4,1
UA0273,45,36-50,Female,South,Third Year,Health,Academic Risk,38,8,1,91,2.61,Yes,In Person,3,1
UA0274,38,36-50,Male,East,Fourth Year,Science,Career,33,7,1,70,3.38,Yes,Online,5,1
UA0275,33,26-35,Male,West,Graduate,Engineering,Career,20,11,1,115,1.85,No,Phone,5,1
UA0276,26,26-35,Male,South,Second Year,Health,Academic Risk,49,9,0,9,2.7,Yes,Online,1,0
UA0277,39,36-50,Female,West,Third Year,Health,Graduation Check,9,5,0,34,1.92,Yes,Phone,1,0
UA0278,43,36-50,Male,South,Fourth Year,Health,Graduation Check,34,3,1,58,2.24,Yes,Online,4,0
UA0279,26,26-35,Male,South,First Year,Business,Career,34,4,2,6,3.69,Yes,Online,5,1
UA0280,36,36-50,Male,East,Second Year,Arts,Career,10,7,0,70,3.49,Yes,Phone,3,1
UA0281,37,36-50,Female,East,First Year,Engineering,Course Planning,55,7,1,32,3.77,Yes,In Person,3,0
UA0282,30,26-35,Female,North,First Year,Science,Academic Risk,14,6,0,119,3.95,Yes,Online,2,1
UA0283,43,36-50,Male,East,Third Year,Health,Academic Risk,15,8,2,42,3.41,Yes,Online,2,0
UA0284,38,36-50,Male,East,Fourth Year,Science,Graduation Check,37,6,0,96,2.31,No,Online,3,1
UA0285,30,26-35,Female,East,First Year,Engineering,Graduation Check,27,12,2,26,2.04,Yes,Online,4,1
UA0286,27,26-35,Female,North,Fourth Year,Health,Graduation Check,2,11,1,30,1.88,Yes,Online,5,1
UA0287,26,26-35,Female,South,Second Year,Business,Academic Risk,53,3,1,110,,No,Phone,1,0
UA0288,30,26-35,Male,South,Graduate,Business,Academic Risk,48,10,0,1,3.96,Yes,Online,4,1
UA0289,33,26-35,Male,West,Fourth Year,Arts,Academic Risk,40,12,1,42,3.99,Yes,In Person,3,1
UA0290,29,26-35,Male,South,Fourth Year,Engineering,Graduation Check,54,3,0,108,2.92,Yes,In Person,5,1
UA0291,37,36-50,Female,North,Fourth Year,Business,Course Planning,45,10,0,23,2.43,Yes,Phone,1,1
UA0292,25,18-25,Male,South,Fourth Year,Engineering,Graduation Check,19,12,0,28,1.57,Yes,In Person,5,1
UA0293,43,36-50,Male,East,Fourth Year,Arts,Course Planning,3,5,0,104,2.2,Yes,Phone,1,0
UA0294,40,36-50,Female,West,Third Year,Science,Course Planning,27,9,0,70,2.88,No,Phone,2,0
UA0295,31,26-35,Female,East,Third Year,Arts,Career,28,12,2,84,2.95,No,In Person,1,0
UA0296,18,18-25,Female,North,Graduate,Science,Academic Risk,59,5,2,2,2.8,No,In Person,3,0
UA0297,30,26-35,Female,North,First Year,Science,Course Planning,25,2,3,119,1.55,No,Phone,4,0
UA0298,37,36-50,Male,South,First Year,Arts,Course Planning,38,6,0,105,2.05,Yes,In Person,5,0
UA0299,40,36-50,Male,North,Graduate,Arts,Academic Risk,35,12,0,74,3.79,No,Phone,4,1
UA0300,21,18-25,Female,North,Fourth Year,Health,Course Planning,7,11,0,67,2.37,No,In Person,2,0
UA0301,24,18-25,Female,West,Graduate,Arts,Academic Risk,29,3,0,28,1.83,Yes,Phone,3,0
UA0302,30,26-35,Female,South,First Year,Business,Graduation Check,46,9,2,33,3.48,Yes,In Person,5,1
UA0303,39,36-50,Male,North,Second Year,Arts,Course Planning,38,12,0,37,2.63,Yes,Phone,1,1
UA0304,39,36-50,Male,North,Third Year,Business,Course Planning,48,12,0,17,2.78,Yes,In Person,3,1
UA0305,23,18-25,Female,North,Third Year,Science,Graduation Check,29,1,0,9,3.48,No,Online,5,1
UA0306,42,36-50,Male,West,Second Year,Engineering,Graduation Check,30,9,1,31,2.83,No,Online,3,1
UA0307,28,26-35,Female,North,First Year,Health,Graduation Check,43,12,1,7,1.8,Yes,In Person,5,1
UA0308,44,36-50,Female,West,First Year,Science,Academic Risk,11,11,0,102,3.73,Yes,Phone,2,1
UA0309,44,36-50,Female,North,Graduate,Arts,Course Planning,40,0,0,90,2.19,Yes,Online,4,0
UA0310,40,36-50,Male,North,First Year,Business,Graduation Check,6,3,2,91,2.33,Yes,Online,2,1
UA0311,31,26-35,Male,West,Second Year,Health,Graduation Check,33,8,0,71,2.97,Yes,Online,3,1
UA0312,26,26-35,Female,North,Fourth Year,Business,Graduation Check,11,8,1,27,3.4,Yes,In Person,2,1
UA0313,34,26-35,Male,North,Second Year,Science,Academic Risk,48,2,0,49,2.17,Yes,Online,1,1
UA0314,32,26-35,Male,East,Third Year,Health,Academic Risk,37,9,0,43,3.63,Yes,Phone,5,1
UA0315,30,26-35,Female,South,First Year,Business,Career,58,8,0,102,2.61,Yes,In Person,3,1
UA0316,30,26-35,Female,South,Second Year,Science,Career,14,6,0,70,1.65,Yes,In Person,4,1
UA0317,28,26-35,Female,West,Third Year,Business,Graduation Check,15,10,0,24,3.96,Yes,Phone,4,1
UA0318,44,36-50,Male,East,Third Year,Health,Career,30,1,0,26,2.96,No,Online,5,1
UA0319,28,26-35,Male,South,Fourth Year,Business,Academic Risk,49,1,0,79,2.6,Yes,Phone,1,0
UA0320,43,36-50,Male,North,Second Year,Health,Career,21,7,2,83,2.41,Yes,Phone,5,0
UA0321,44,36-50,Female,East,Second Year,Arts,Course Planning,9,12,0,118,2.36,No,In Person,2,1
UA0322,33,26-35,Male,East,First Year,Business,Academic Risk,16,3,1,49,3.29,Yes,In Person,5,1
UA0323,32,26-35,Female,East,First Year,Engineering,Course Planning,34,9,1,102,3.26,Yes,Online,3,1
UA0324,34,26-35,Female,East,Graduate,Arts,Academic Risk,4,1,0,76,3.5,Yes,In Person,5,1
UA0325,33,26-35,Female,South,Fourth Year,Science,Career,28,11,0,63,3.43,Yes,In Person,2,1
UA0326,45,36-50,Male,East,Second Year,Arts,Course Planning,60,0,0,81,3.52,Yes,Phone,5,1
UA0327,29,26-35,Female,West,Fourth Year,Engineering,Course Planning,39,6,2,115,3.24,No,In Person,1,0
UA0328,18,18-25,Female,West,Graduate,Health,Course Planning,5,5,0,18,2.67,No,In Person,3,1
UA0329,26,26-35,Female,East,First Year,Health,Graduation Check,10,4,3,81,3.23,Yes,In Person,1,0
UA0330,27,26-35,Female,West,Third Year,Arts,Course Planning,42,7,1,89,2.86,No,Online,1,0
UA0331,44,36-50,Male,South,Graduate,Health,Graduation Check,51,6,2,75,2.64,Yes,Online,2,0
UA0332,34,26-35,Female,East,Second Year,Science,Graduation Check,32,0,1,44,1.86,Yes,Online,5,0
UA0333,44,36-50,Male,South,Third Year,Arts,Course Planning,54,11,0,71,3.16,No,Online,4,1
UA0334,43,36-50,Female,East,First Year,Engineering,Graduation Check,44,3,0,64,2.08,Yes,Phone,2,0
UA0335,20,18-25,Male,South,Third Year,Engineering,Career,38,8,0,95,3.53,Yes,In Person,4,1
UA0336,45,36-50,Male,East,Graduate,Arts,Academic Risk,11,12,0,19,2.33,Yes,Online,3,1
UA0337,18,18-25,Female,North,First Year,Business,Graduation Check,45,3,0,81,1.86,No,Phone,2,0
UA0338,24,18-25,Female,East,First Year,Engineering,Course Planning,51,0,0,72,3.3,Yes,Phone,4,1
UA0339,37,36-50,Female,East,Second Year,Health,Course Planning,55,10,1,66,2.69,Yes,In Person,4,1
UA0340,27,26-35,Male,South,Second Year,Business,Career,12,10,4,74,3.19,Yes,Online,1,0
UA0341,23,18-25,Female,South,Fourth Year,Science,Career,39,7,0,83,3.56,Yes,In Person,5,1
UA0342,20,18-25,Male,West,First Year,Science,Career,40,11,2,77,2.51,Yes,Online,4,1
UA0343,42,36-50,Female,South,Third Year,Science,Academic Risk,8,0,1,115,2.67,Yes,Online,1,1
UA0344,34,26-35,Female,East,Fourth Year,Arts,Course Planning,36,8,0,104,2.81,No,In Person,1,0
UA0345,30,26-35,Male,South,Second Year,Science,Graduation Check,32,6,1,106,1.9,Yes,In Person,1,1
UA0346,25,18-25,Male,North,First Year,Health,Academic Risk,11,10,0,81,1.56,Yes,Online,2,1
UA0347,32,26-35,Male,North,Second Year,Arts,Career,39,7,0,35,2.32,Yes,In Person,4,1
UA0348,42,36-50,Female,West,Fourth Year,Science,Graduation Check,26,10,0,81,2.53,Yes,Online,2,1
UA0349,41,36-50,Female,North,First Year,Business,Course Planning,24,10,0,27,,No,Online,4,1
UA0350,41,36-50,Male,North,Fourth Year,Health,Career,45,9,0,44,3.92,Yes,Online,2,1
UA0351,45,36-50,Male,South,Graduate,Health,Career,25,4,4,85,2.66,Yes,Online,1,0
UA0352,30,26-35,Female,North,Second Year,Engineering,Academic Risk,43,11,1,8,1.69,Yes,Phone,1,1
UA0353,22,18-25,Female,West,Third Year,Science,Career,9,12,0,84,3.4,No,Phone,1,1
UA0354,21,18-25,Female,West,Graduate,Science,Course Planning,38,7,1,85,3.62,No,Online,4,1
UA0355,31,26-35,Male,South,Graduate,Arts,Career,20,7,0,3,3.42,Yes,Online,1,1
UA0356,42,36-50,Female,South,Fourth Year,Arts,Academic Risk,5,9,1,88,3.22,Yes,In Person,5,1
UA0357,30,26-35,Male,South,Third Year,Health,Graduation Check,35,9,1,63,3.52,Yes,In Person,1,1
UA0358,19,18-25,Female,West,Graduate,Science,Academic Risk,46,12,0,101,3.74,Yes,In Person,1,1
UA0359,33,26-35,Male,East,First Year,Science,Academic Risk,41,9,0,120,2.59,Yes,Online,5,1
UA0360,41,36-50,Male,South,First Year,Science,Academic Risk,57,11,1,91,1.55,Yes,Online,1,1
